"Time","Date","Min.Delay","Hour"
13H 7M 0S,2022-01-03,23,13
13H 16M 0S,2022-01-03,9,13
13H 23M 0S,2022-01-03,11,13
13H 24M 0S,2022-01-03,13,13
13H 26M 0S,2022-01-03,5,13
13H 29M 0S,2022-01-03,15,13
13H 33M 0S,2022-01-03,14,13
13H 34M 0S,2022-01-03,5,13
13H 35M 0S,2022-01-03,16,13
13H 37M 0S,2022-01-03,20,13
13H 38M 0S,2022-01-03,15,13
13H 43M 0S,2022-01-03,227,13
13H 44M 0S,2022-01-03,20,13
13H 46M 0S,2022-01-03,18,13
13H 54M 0S,2022-01-03,11,13
14H 0M 0S,2022-01-03,9,14
14H 6M 0S,2022-01-03,8,14
14H 10M 0S,2022-01-03,27,14
14H 14M 0S,2022-01-03,7,14
14H 14M 0S,2022-01-03,27,14
14H 16M 0S,2022-01-03,5,14
14H 17M 0S,2022-01-03,13,14
14H 23M 0S,2022-01-03,18,14
14H 24M 0S,2022-01-03,10,14
14H 24M 0S,2022-01-03,10,14
14H 25M 0S,2022-01-03,7,14
14H 25M 0S,2022-01-03,5,14
14H 26M 0S,2022-01-03,13,14
14H 27M 0S,2022-01-03,20,14
14H 28M 0S,2022-01-03,6,14
14H 29M 0S,2022-01-03,20,14
14H 29M 0S,2022-01-03,19,14
14H 30M 0S,2022-01-03,6,14
14H 30M 0S,2022-01-03,20,14
14H 30M 0S,2022-01-03,10,14
14H 33M 0S,2022-01-03,16,14
14H 36M 0S,2022-01-03,9,14
14H 38M 0S,2022-01-03,9,14
14H 41M 0S,2022-01-03,9,14
14H 42M 0S,2022-01-03,10,14
14H 43M 0S,2022-01-03,9,14
14H 50M 0S,2022-01-03,8,14
14H 51M 0S,2022-01-03,14,14
14H 51M 0S,2022-01-03,8,14
14H 56M 0S,2022-01-03,10,14
14H 57M 0S,2022-01-03,8,14
15H 0M 0S,2022-01-03,14,15
15H 0M 0S,2022-01-03,6,15
15H 1M 0S,2022-01-03,34,15
15H 1M 0S,2022-01-03,9,15
15H 7M 0S,2022-01-03,5,15
15H 9M 0S,2022-01-03,5,15
15H 10M 0S,2022-01-03,15,15
15H 15M 0S,2022-01-03,14,15
15H 15M 0S,2022-01-03,15,15
15H 16M 0S,2022-01-03,10,15
15H 16M 0S,2022-01-03,12,15
15H 17M 0S,2022-01-03,25,15
15H 27M 0S,2022-01-03,13,15
15H 30M 0S,2022-01-03,8,15
15H 30M 0S,2022-01-03,8,15
15H 30M 0S,2022-01-03,6,15
15H 30M 0S,2022-01-03,18,15
15H 35M 0S,2022-01-03,20,15
15H 40M 0S,2022-01-03,10,15
15H 41M 0S,2022-01-03,9,15
15H 45M 0S,2022-01-03,16,15
15H 46M 0S,2022-01-03,11,15
15H 46M 0S,2022-01-03,14,15
15H 50M 0S,2022-01-03,6,15
15H 52M 0S,2022-01-03,5,15
15H 53M 0S,2022-01-03,9,15
15H 54M 0S,2022-01-03,6,15
15H 56M 0S,2022-01-03,20,15
15H 57M 0S,2022-01-03,10,15
15H 57M 0S,2022-01-03,12,15
16H 1M 0S,2022-01-03,10,16
16H 2M 0S,2022-01-03,17,16
16H 4M 0S,2022-01-03,9,16
16H 5M 0S,2022-01-03,5,16
16H 8M 0S,2022-01-03,21,16
16H 13M 0S,2022-01-03,13,16
16H 17M 0S,2022-01-03,25,16
16H 17M 0S,2022-01-03,15,16
16H 24M 0S,2022-01-03,15,16
16H 25M 0S,2022-01-03,30,16
16H 29M 0S,2022-01-03,16,16
16H 37M 0S,2022-01-03,10,16
16H 39M 0S,2022-01-03,9,16
16H 42M 0S,2022-01-03,10,16
16H 48M 0S,2022-01-03,10,16
16H 49M 0S,2022-01-03,18,16
17H 9M 0S,2022-01-03,12,17
17H 12M 0S,2022-01-03,9,17
17H 13M 0S,2022-01-03,6,17
17H 15M 0S,2022-01-03,10,17
17H 19M 0S,2022-01-03,6,17
17H 22M 0S,2022-01-03,9,17
17H 25M 0S,2022-01-03,6,17
17H 26M 0S,2022-01-03,10,17
17H 27M 0S,2022-01-03,16,17
17H 33M 0S,2022-01-03,16,17
17H 36M 0S,2022-01-03,19,17
17H 38M 0S,2022-01-03,7,17
17H 39M 0S,2022-01-03,20,17
17H 42M 0S,2022-01-03,15,17
17H 44M 0S,2022-01-03,11,17
17H 44M 0S,2022-01-03,18,17
17H 45M 0S,2022-01-03,18,17
17H 47M 0S,2022-01-03,11,17
17H 48M 0S,2022-01-03,18,17
17H 48M 0S,2022-01-03,11,17
17H 51M 0S,2022-01-03,10,17
17H 52M 0S,2022-01-03,11,17
17H 58M 0S,2022-01-03,5,17
18H 2M 0S,2022-01-03,6,18
18H 6M 0S,2022-01-03,10,18
18H 13M 0S,2022-01-03,5,18
18H 31M 0S,2022-01-03,15,18
18H 31M 0S,2022-01-03,15,18
18H 31M 0S,2022-01-03,10,18
18H 35M 0S,2022-01-03,13,18
18H 36M 0S,2022-01-03,10,18
19H 1M 0S,2022-01-03,13,19
19H 15M 0S,2022-01-03,9,19
19H 18M 0S,2022-01-03,10,19
19H 22M 0S,2022-01-03,15,19
19H 26M 0S,2022-01-03,16,19
19H 27M 0S,2022-01-03,13,19
19H 42M 0S,2022-01-03,9,19
19H 59M 0S,2022-01-03,12,19
20H 25M 0S,2022-01-03,20,20
20H 34M 0S,2022-01-03,10,20
20H 40M 0S,2022-01-03,20,20
20H 48M 0S,2022-01-03,28,20
20H 56M 0S,2022-01-03,8,20
21H 1M 0S,2022-01-03,14,21
21H 3M 0S,2022-01-03,11,21
21H 20M 0S,2022-01-03,13,21
21H 24M 0S,2022-01-03,19,21
21H 37M 0S,2022-01-03,8,21
21H 55M 0S,2022-01-03,10,21
22H 22M 0S,2022-01-03,7,22
23H 31M 0S,2022-01-03,103,23
23H 42M 0S,2022-01-03,10,23
23H 48M 0S,2022-01-03,9,23
2H 10M 0S,2022-01-04,3,2
3H 19M 0S,2022-01-04,15,3
4H 0M 0S,2022-01-04,20,4
4H 21M 0S,2022-01-04,9,4
4H 38M 0S,2022-01-04,13,4
4H 38M 0S,2022-01-04,13,4
4H 41M 0S,2022-01-04,21,4
4H 43M 0S,2022-01-04,26,4
4H 46M 0S,2022-01-04,20,4
5H 0M 0S,2022-01-04,526,5
5H 4M 0S,2022-01-04,24,5
5H 5M 0S,2022-01-04,9,5
5H 7M 0S,2022-01-04,22,5
5H 17M 0S,2022-01-04,10,5
5H 17M 0S,2022-01-04,10,5
5H 18M 0S,2022-01-04,18,5
5H 27M 0S,2022-01-04,15,5
5H 28M 0S,2022-01-04,8,5
5H 28M 0S,2022-01-04,46,5
5H 32M 0S,2022-01-04,15,5
5H 43M 0S,2022-01-04,14,5
5H 44M 0S,2022-01-04,15,5
5H 44M 0S,2022-01-04,19,5
5H 44M 0S,2022-01-04,10,5
5H 46M 0S,2022-01-04,5,5
5H 47M 0S,2022-01-04,30,5
5H 55M 0S,2022-01-04,15,5
5H 57M 0S,2022-01-04,16,5
5H 58M 0S,2022-01-04,7,5
6H 0M 0S,2022-01-04,10,6
6H 1M 0S,2022-01-04,5,6
6H 2M 0S,2022-01-04,9,6
6H 3M 0S,2022-01-04,10,6
6H 4M 0S,2022-01-04,14,6
6H 4M 0S,2022-01-04,6,6
6H 5M 0S,2022-01-04,20,6
6H 7M 0S,2022-01-04,23,6
6H 14M 0S,2022-01-04,5,6
6H 29M 0S,2022-01-04,5,6
6H 33M 0S,2022-01-04,4,6
6H 34M 0S,2022-01-04,18,6
6H 39M 0S,2022-01-04,10,6
6H 44M 0S,2022-01-04,14,6
6H 46M 0S,2022-01-04,14,6
6H 48M 0S,2022-01-04,15,6
6H 52M 0S,2022-01-04,6,6
6H 54M 0S,2022-01-04,9,6
7H 1M 0S,2022-01-04,15,7
7H 2M 0S,2022-01-04,7,7
7H 4M 0S,2022-01-04,7,7
7H 4M 0S,2022-01-04,10,7
7H 8M 0S,2022-01-04,18,7
7H 10M 0S,2022-01-04,6,7
7H 27M 0S,2022-01-04,12,7
7H 50M 0S,2022-01-04,25,7
7H 52M 0S,2022-01-04,9,7
8H 16M 0S,2022-01-04,10,8
8H 22M 0S,2022-01-04,5,8
8H 31M 0S,2022-01-04,10,8
8H 38M 0S,2022-01-04,14,8
8H 55M 0S,2022-01-04,9,8
9H 2M 0S,2022-01-04,10,9
9H 5M 0S,2022-01-04,30,9
9H 13M 0S,2022-01-04,10,9
9H 14M 0S,2022-01-04,5,9
9H 17M 0S,2022-01-04,16,9
9H 19M 0S,2022-01-04,17,9
9H 40M 0S,2022-01-04,12,9
9H 46M 0S,2022-01-04,20,9
9H 48M 0S,2022-01-04,10,9
9H 53M 0S,2022-01-04,12,9
9H 58M 0S,2022-01-04,11,9
9H 59M 0S,2022-01-04,8,9
10H 0M 0S,2022-01-04,6,10
10H 9M 0S,2022-01-04,15,10
10H 12M 0S,2022-01-04,10,10
10H 21M 0S,2022-01-04,5,10
10H 31M 0S,2022-01-04,10,10
10H 41M 0S,2022-01-04,17,10
10H 55M 0S,2022-01-04,23,10
10H 55M 0S,2022-01-04,23,10
11H 9M 0S,2022-01-04,8,11
11H 20M 0S,2022-01-04,14,11
11H 37M 0S,2022-01-04,18,11
11H 38M 0S,2022-01-04,20,11
11H 55M 0S,2022-01-04,12,11
12H 6M 0S,2022-01-04,8,12
12H 7M 0S,2022-01-04,13,12
12H 17M 0S,2022-01-04,20,12
12H 20M 0S,2022-01-04,13,12
12H 32M 0S,2022-01-04,4,12
12H 38M 0S,2022-01-04,25,12
12H 49M 0S,2022-01-04,10,12
12H 57M 0S,2022-01-04,9,12
13H 6M 0S,2022-01-04,8,13
13H 13M 0S,2022-01-04,19,13
13H 25M 0S,2022-01-04,13,13
13H 33M 0S,2022-01-04,136,13
13H 34M 0S,2022-01-04,18,13
13H 35M 0S,2022-01-04,16,13
13H 36M 0S,2022-01-04,25,13
13H 43M 0S,2022-01-04,16,13
13H 44M 0S,2022-01-04,20,13
13H 45M 0S,2022-01-04,16,13
13H 48M 0S,2022-01-04,8,13
13H 50M 0S,2022-01-04,16,13
13H 51M 0S,2022-01-04,11,13
13H 52M 0S,2022-01-04,14,13
13H 54M 0S,2022-01-04,30,13
14H 0M 0S,2022-01-04,8,14
14H 0M 0S,2022-01-04,5,14
14H 7M 0S,2022-01-04,16,14
14H 17M 0S,2022-01-04,13,14
14H 18M 0S,2022-01-04,9,14
14H 22M 0S,2022-01-04,20,14
14H 25M 0S,2022-01-04,15,14
14H 28M 0S,2022-01-04,6,14
14H 30M 0S,2022-01-04,6,14
14H 31M 0S,2022-01-04,12,14
14H 31M 0S,2022-01-04,12,14
14H 34M 0S,2022-01-04,2,14
14H 35M 0S,2022-01-04,7,14
14H 36M 0S,2022-01-04,9,14
14H 41M 0S,2022-01-04,8,14
14H 42M 0S,2022-01-04,15,14
14H 43M 0S,2022-01-04,14,14
14H 45M 0S,2022-01-04,5,14
14H 47M 0S,2022-01-04,9,14
14H 50M 0S,2022-01-04,11,14
14H 54M 0S,2022-01-04,12,14
14H 58M 0S,2022-01-04,12,14
15H 5M 0S,2022-01-04,8,15
15H 5M 0S,2022-01-04,11,15
15H 6M 0S,2022-01-04,23,15
15H 7M 0S,2022-01-04,5,15
15H 8M 0S,2022-01-04,8,15
15H 8M 0S,2022-01-04,20,15
15H 8M 0S,2022-01-04,27,15
15H 10M 0S,2022-01-04,12,15
15H 10M 0S,2022-01-04,13,15
15H 12M 0S,2022-01-04,19,15
15H 13M 0S,2022-01-04,27,15
15H 15M 0S,2022-01-04,14,15
15H 26M 0S,2022-01-04,11,15
15H 28M 0S,2022-01-04,10,15
15H 30M 0S,2022-01-04,6,15
15H 31M 0S,2022-01-04,10,15
15H 33M 0S,2022-01-04,12,15
15H 35M 0S,2022-01-04,14,15
15H 39M 0S,2022-01-04,6,15
15H 48M 0S,2022-01-04,6,15
15H 48M 0S,2022-01-04,11,15
15H 52M 0S,2022-01-04,16,15
15H 54M 0S,2022-01-04,6,15
15H 55M 0S,2022-01-04,16,15
15H 57M 0S,2022-01-04,12,15
15H 59M 0S,2022-01-04,10,15
15H 59M 0S,2022-01-04,9,15
